,이름,주소,가격,셀프,상표,구
0,지에스칼텍스㈜ 신월주유소,서울 강동구 양재대로 1323 (성내동),1415.0,N,GS칼텍스,강동구
1,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1415.0,Y,GS칼텍스,강동구
2,구천면주유소,서울 강동구 구천면로 357 (암사동),1424.0,N,현대오일뱅크,강동구
3,방아다리주유소,서울 강동구 동남로 811 (명일동),1435.0,Y,SK에너지,강동구
4,대성석유(주)직영 길동주유소,서울 강동구 천호대로 1168,1448.0,N,GS칼텍스,강동구
5,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1448.0,Y,S-OIL,강동구
6,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),1448.0,Y,현대오일뱅크,강동구
7,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),1455.0,Y,SK에너지,강동구
8,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),1456.0,N,SK에너지,강동구
9,현대오일뱅크㈜직영 고속셀프주유소,서울 강동구 천호대로 1246,1457.0,Y,현대오일뱅크,강동구
10,현대오일뱅크㈜직영 암사셀프주유소,서울 강동구 올림픽로 749 (암사동),1457.0,Y,현대오일뱅크,강동구
11,천호현대주유소,서울 강동구 천중로 67 (천호동),1465.0,N,현대오일뱅크,강동구
12,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1478.0,N,GS칼텍스,강동구
13,(주)소모에너지엔테크놀러지 성내주유소,서울 강동구 올림픽로 578 (성내동),1478.0,Y,GS칼텍스,강동구
14,광성주유소,서울 강동구 올림픽로 673 (천호동),1498.0,N,S-OIL,강동구
15,강동주유소,서울 강동구 양재대로 1509 (길동),1893.0,N,SK에너지,강동구
16,재원에너지(주)용일주유소,서울 동대문구 안암로 54 (용두동),1322.0,N,GS칼텍스,동대문구
17,풍한주유소,서울 동대문구 안암로 168,1325.0,N,SK에너지,동대문구
18,(주)경동주유소,서울 동대문구 이문로 191 (이문동),1340.0,Y,S-OIL,동대문구
19,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1340.0,Y,GS칼텍스,동대문구
20,재정제2주유소,서울 동대문구 사가정로 90 (전농동),1352.0,Y,현대오일뱅크,동대문구
21,재정주유소,서울 동대문구 전농로 121 (전농동),1352.0,N,현대오일뱅크,동대문구
22,웰컴주유소,서울 동대문구 한천로 414 (이문동),1355.0,N,현대오일뱅크,동대문구
23,열린주유소,서울 동대문구 한천로 263 (휘경동),1365.0,N,GS칼텍스,동대문구
24,(주)파랑에너지,서울 동대문구 망우로 1,1369.0,Y,GS칼텍스,동대문구
25,배봉로주유소,서울 동대문구 서울시립대로 108,1369.0,Y,현대오일뱅크,동대문구
26,동일석유(주)강남주유소,서울특별시 동대문구  사가정로 103 (전농동),1379.0,N,SK에너지,동대문구
27,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1387.0,N,S-OIL,동대문구
28,삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1389.0,Y,SK에너지,동대문구
29,삼영주유소,서울 동대문구 답십리로 258 (장안동),1398.0,N,SK에너지,동대문구
30,답십리주유소,서울 동대문구 답십리로 223 (답십리동),1398.0,N,SK에너지,동대문구
31,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),1398.0,Y,SK에너지,동대문구
32,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1418.0,N,GS칼텍스,동대문구
33,오동나무주유소,서울 동대문구  한천로 81 (답십리동),1428.0,N,S-OIL,동대문구
34,현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),1438.0,N,현대오일뱅크,동대문구
35,신성주유소,서울 동대문구 장한로 29 (장안동),1497.0,N,현대오일뱅크,동대문구
36,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),1499.0,N,현대오일뱅크,동대문구
37,능주주유소,서울 동대문구 청계천로 431 (신설동),1563.0,N,SK에너지,동대문구
38,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,1358.0,N,GS칼텍스,동작구
39,대성산업(주) 노량진주유소,서울 동작구 노량진로 172 (노량진동),1398.0,N,GS칼텍스,동작구
40,매일주유소,서울 동작구 상도로 139 (상도동),1399.0,N,S-OIL,동작구
41,창원이엔지주유소,서울 동작구 사당로 59 (상도동),1399.0,N,현대오일뱅크,동작구
42,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),1408.0,Y,현대오일뱅크,동작구
43,(주)성림에너지 남성주유소,서울 동작구 동작대로 135 (사당동),1429.0,Y,GS칼텍스,동작구
44,현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),1429.0,Y,현대오일뱅크,동작구
45,현대오일뱅크(주)직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),1429.0,Y,현대오일뱅크,동작구
46,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로 403 (상도동),1455.0,N,현대오일뱅크,동작구
47,살피재주유소,서울 동작구 상도로 334,1495.0,N,SK에너지,동작구
48,에스오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),1388.0,Y,S-OIL,마포구
49,마포시엠주유소,서울 마포구 월드컵북로62 (성산동),1397.0,N,GS칼텍스,마포구
50,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),1407.0,N,SK에너지,마포구
51,청원주유소,서울 마포구 월드컵북로 113 (성산동),1428.0,N,현대오일뱅크,마포구
52,용강주유소,서울 마포구 토정로 258,1436.0,N,S-OIL,마포구
53,대흥주유소,서울 마포구 대흥로 61 (대흥동),1438.0,N,SK에너지,마포구
54,현대오일뱅크㈜직영 마포제일주유소,서울 마포구 서강로 76 (창전동),1438.0,N,현대오일뱅크,마포구
55,망원동주유소,서울 마포구 월드컵로 119 (망원동),1448.0,N,SK에너지,마포구
56,현대오일뱅크㈜직영 성산대교주유소,서울 마포구 성산로 144,1473.0,N,현대오일뱅크,마포구
57,SK에너지(주) 안국주유소,서울 마포구 양화로 33 (합정동),1584.0,N,SK에너지,마포구
58,마포주유소,서울 마포구 마포대로 186 (공덕동),1697.0,N,S-OIL,마포구
59,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),1699.0,N,SK에너지,마포구
60,행촌제2주유소,서울 서대문구 성산로 490 (대신동),1360.0,N,SK에너지,서대문구
61,(주)마봉 구도일주유소 두꺼비,서울 서대문구 성산로 312 (연희동),1360.0,Y,S-OIL,서대문구
62,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),1360.0,N,SK에너지,서대문구
63,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),1369.0,N,현대오일뱅크,서대문구
64,(주)마봉 신우주유소,서울 서대문구 가좌로 106 (홍은동),1375.0,Y,S-OIL,서대문구
65,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,1380.0,Y,현대오일뱅크,서대문구
66,남정주유소,서울 서대문구 모래내로 243 (남가좌동),1385.0,N,GS칼텍스,서대문구
67,광호주유소,서울 서대문구 연희로 266 (홍은동),1385.0,N,SK에너지,서대문구
68,코리아상사연세주유소,서울 서대문구 연희로 184,1385.0,Y,GS칼텍스,서대문구
69,삼보셀프주유소,서울 서대문구 연희로 78 (연희동),1389.0,Y,SK에너지,서대문구
70,삼미상사(주)서부주유소,서울 서대문구 성산로 255 (연희동),1390.0,Y,SK에너지,서대문구
71,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,1395.0,Y,GS칼텍스,서대문구
72,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),1398.0,Y,SK에너지,서대문구
73,현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),1409.0,N,현대오일뱅크,서대문구
74,문화촌주유소,서울 서대문구 세검정로 87 (홍제동),1598.0,N,S-OIL,서대문구
75,만남의광장주유소,서울 서초구 양재대로12길 73-71,1297.0,Y,알뜰(ex),서초구
76,지에스칼텍스(주)헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),1395.0,Y,GS칼텍스,서초구
77,양재주유소,서울 서초구 바우뫼로 178 (양재동),1395.0,N,SK에너지,서초구
78,지에스칼텍스(주)내곡주유소,서울 서초구 헌릉로 210,1395.0,N,GS칼텍스,서초구
79,양재최고주유소,서울 서초구 매헌로 72 (양재동),1395.0,N,S-OIL,서초구
80,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),1395.0,Y,SK에너지,서초구
81,강남대로주유소,서울 서초구 강남대로 206 (양재동),1395.0,Y,S-OIL,서초구
82,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),1396.0,N,GS칼텍스,서초구
83,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),1397.0,Y,SK에너지,서초구
84,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),1409.0,Y,S-OIL,서초구
85,(주)홈런주유소,서울 서초구 양재대로2길 100-30 (우면동),1409.0,Y,S-OIL,서초구
86,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),1414.0,N,GS칼텍스,서초구
87,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),1415.0,N,GS칼텍스,서초구
88,(주)한미건설 서울주유소,서울 서초구 서초중앙로 91 (서초동),1415.0,N,GS칼텍스,서초구
89,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,1415.0,N,GS칼텍스,서초구
90,양재현대주유소,서울 서초구 마방로 6,1418.0,N,현대오일뱅크,서초구
91,한독주유소,서울 서초구 방배로 218 (방배동),1419.0,N,GS칼텍스,서초구
92,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),1419.0,N,현대오일뱅크,서초구
93,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),1422.0,N,GS칼텍스,서초구
94,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),1425.0,N,GS칼텍스,서초구
95,신반포주유소,서울 서초구 사평대로 94 (반포동),1428.0,N,SK에너지,서초구
96,현대오일뱅크(주)직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),1429.0,N,현대오일뱅크,서초구
97,현대오일뱅크㈜직영 반포셀프주유소,서울 서초구 사평대로 12,1429.0,Y,현대오일뱅크,서초구
98,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),1439.0,Y,SK에너지,서초구
99,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),1442.0,N,GS칼텍스,서초구
100,대성산업(주)직영강남주유소,서울 서초구 반포대로 284 (반포동),1442.0,N,GS칼텍스,서초구
101,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),1442.0,N,GS칼텍스,서초구
102,현대오일뱅크(주)직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),1462.0,N,현대오일뱅크,서초구
103,경일석유(주)직영 삼방주유소,서울 서초구 사평대로 364 (서초동),1497.0,N,GS칼텍스,서초구
104,방배동주유소,서울 서초구 효령로 29 (방배동),1497.0,N,SK에너지,서초구
105,크로바주유소,서울 서초구 효령로 327 (서초동),1539.0,N,SK에너지,서초구
106,현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),1682.0,N,현대오일뱅크,서초구
107,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),1878.0,N,SK에너지,서초구
108,중앙주유소,서울 서초구 양재동 바우뫼로 219 (양재동),1878.0,N,S-OIL,서초구
109,선우상사Q엔느,서울 서초구 방배로 66 (방배동),1897.0,N,SK에너지,서초구
110,KLP제2주유소,서울 성동구 동일로 249 (송정동),1345.0,Y,현대오일뱅크,성동구
111,(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),1352.0,Y,S-OIL,성동구
112,정호주유소,서울 성동구 고산자로 307 (마장동),1378.0,N,자가상표,성동구
113,SK에너지(주) 군자동주유소,서울 성동구 천호대로 446 (용답동),1394.0,N,SK에너지,성동구
114,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,1395.0,Y,GS칼텍스,성동구
115,아이콘주유소,서울 성동구 고산자로 273 (도선동),1418.0,N,S-OIL,성동구
116,현대오일뱅크(주) 성동셀프주유소,서울 성동구 마장로 311 (마장동),1430.0,Y,현대오일뱅크,성동구
117,삼우주유소,서울 성동구 천호대로 392,1448.0,N,SK에너지,성동구
118,kh에너지(주)성수만세주유소,서울 성동구 왕십리로 109,1455.0,Y,SK에너지,성동구
119,SK에너지(주) 성수주유소,서울 성동구 뚝섬로 352 (성수동1가),1455.0,N,SK에너지,성동구
120,경진주유소,서울 성동구 고산자로 348 (마장동),1488.0,N,SK에너지,성동구
121,SK세원2주유소,서울 성동구 광나루로 184 (성수동1가),1490.0,N,SK에너지,성동구
122,현대오일뱅크㈜직영 효진주유소,서울 성동구 동일로 129,1508.0,N,현대오일뱅크,성동구
123,금호주유소,서울 성동구 금호로 39 (금호동4가),1595.0,N,GS칼텍스,성동구
124,동일주유소,서울 성동구 광나루로 254 (성수동2가),1685.0,N,현대오일뱅크,성동구
125,청계로주유소,서울 성동구 청계천로 454 (하왕십리동),1698.0,N,SK에너지,성동구
126,(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),1705.0,N,GS칼텍스,성동구
127,원천주유소,서울 성북구 돌곶이로 142 (장위동),1315.0,N,알뜰주유소,성북구
128,강산제2주유소,서울 성북구 보국문로 52,1317.0,Y,현대오일뱅크,성북구
129,(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),1317.0,Y,GS칼텍스,성북구
130,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),1317.0,Y,GS칼텍스,성북구
131,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,1327.0,N,GS칼텍스,성북구
132,(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,1327.0,Y,S-OIL,성북구
133,장위주유소,서울 성북구 화랑로 110 (하월곡동),1329.0,Y,S-OIL,성북구
134,신방주유소,서울 성북구 안암로 111 (안암동5가),1342.0,N,S-OIL,성북구
135,우리주유소,서울 성북구 화랑로 292 (석관동),1344.0,Y,SK에너지,성북구
136,중앙에너비스 종암지점,서울 성북구 종암로 58,1347.0,Y,SK에너지,성북구
137,(주)성북주유소,서울 성북구 보문로 142,1357.0,N,현대오일뱅크,성북구
138,삼선주유소,서울 성북구 창경궁로 324,1357.0,Y,S-OIL,성북구
139,재정제2주유소 길음지점,서울 성북구 삼양로 78 (길음동),1359.0,N,현대오일뱅크,성북구
140,GS칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),1369.0,Y,GS칼텍스,성북구
141,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,1377.0,N,GS칼텍스,성북구
142,현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),1380.0,Y,현대오일뱅크,성북구
143,현대오일뱅크㈜직영 광덕셀프주유소,서울 성북구 보문로 89 (보문동5가),1387.0,Y,현대오일뱅크,성북구
144,현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),1389.0,Y,현대오일뱅크,성북구
145,현대오일뱅크(주)직영 장삼주유소,서울 성북구 한천로 612 (장위동),1389.0,Y,현대오일뱅크,성북구
146,현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),1409.0,N,현대오일뱅크,성북구
147,SK에너지(주) 드림랜드주유소,서울 성북구 월계로 128 (장위동),1414.0,N,SK에너지,성북구
148,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,1418.0,Y,GS칼텍스,성북구
149,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),1425.0,N,GS칼텍스,성북구
150,삼전셀프주유소,서울 송파구 백제고분로 199,1342.0,Y,SK에너지,송파구
151,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),1342.0,Y,현대오일뱅크,송파구
152,방이주유소,서울 송파구 위례성대로12길 38 (방이동),1347.0,N,SK에너지,송파구
153,아시아주유소,서울 송파구 도곡로 438 (잠실동),1347.0,Y,GS칼텍스,송파구
154,(주)뉴명성산업 남성주유소,서울 송파구 백제고분로 474 (방이동),1347.0,N,현대오일뱅크,송파구
155,삼정주유소,서울 송파구 백제고분로 252 (삼전동),1347.0,Y,GS칼텍스,송파구
156,백제고분로주유소,서울 송파구 오금로 143 (방이동),1347.0,Y,SK에너지,송파구
157,삼화주유소,서울 송파구 백제고분로 125,1347.0,Y,GS칼텍스,송파구
158,위례제일주유소,서울 송파구 위례서로 258,1357.0,Y,S-OIL,송파구
159,상아주유소,서울 송파구 거마로 82 (마천동),1363.0,Y,현대오일뱅크,송파구
160,지에스칼텍스(주)우리주유소,서울 송파구 동남로 153,1375.0,N,GS칼텍스,송파구
161,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),1379.0,Y,SK에너지,송파구
162,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),1383.0,Y,S-OIL,송파구
163,대성주유소,서울 송파구 마천로 230 (마천동),1388.0,N,SK에너지,송파구
164,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,1388.0,N,GS칼텍스,송파구
165,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),1388.0,N,GS칼텍스,송파구
166,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),1393.0,Y,GS칼텍스,송파구
167,완불주유소,서울 송파구 송파대로 3 (장지동),1393.0,Y,SK에너지,송파구
168,남성대주유소,서울 송파구 송파대로 52 (장지동),1395.0,Y,SK에너지,송파구
169,(주)유진주유소,서울 송파구 동남로 325 (오금동),1397.0,N,SK에너지,송파구
170,(주)남경석유 세영주유소,서울 송파구 동남로 298,1399.0,N,GS칼텍스,송파구
171,현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),1406.0,Y,현대오일뱅크,송파구
172,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,1407.0,Y,GS칼텍스,송파구
173,제트라인DM주유소,서울 송파구 중대로 183 (가락동),1417.0,N,현대오일뱅크,송파구
174,송파주유소,서울 송파구 송이로 28 (송파동),1417.0,Y,GS칼텍스,송파구
175,(주)퍼스트오일서울주유소,서울 송파구 문정로 153 (가락동),1418.0,N,S-OIL,송파구
176,(주)정직한주유소,서울 송파구 오금로 455 (거여동),1418.0,Y,현대오일뱅크,송파구
177,(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),1419.0,Y,SK에너지,송파구
178,송파알찬주유소,서울 송파구 백제고분로 229 (삼전동),1438.0,N,S-OIL,송파구
179,현대오일뱅크㈜직영 거여셀프주유소,서울 송파구 거마로 5 (거여동),1439.0,Y,현대오일뱅크,송파구
180,현대오일뱅크㈜직영 서원주유소,서울 송파구 중대로 154 (가락동),1450.0,N,현대오일뱅크,송파구
181,현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),1452.0,Y,현대오일뱅크,송파구
182,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),1659.0,N,SK에너지,송파구
183,현대주유소,서울 양천구 남부순환로 372 (신월동),1316.0,Y,S-OIL,양천구
184,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),1325.0,Y,SK에너지,양천구
185,형산석유(주)원주유소,서울 양천구 남부순환로 408,1325.0,N,현대오일뱅크,양천구
186,신월주유소,서울 양천구 신월로 193 (신월동),1328.0,Y,GS칼텍스,양천구
187,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),1335.0,N,GS칼텍스,양천구
188,(주)블루에너지,서울 양천구 중앙로 226 (신정동),1335.0,Y,SK에너지,양천구
189,지에스칼텍스㈜ 서호주유소,서울 양천구 남부순환로 317,1339.0,Y,GS칼텍스,양천구
190,양천구주유소,서울 양천구 국회대로 275 (목동),1347.0,Y,알뜰주유소,양천구
191,가로공원주유소,서울 양천구 가로공원로 165 (신월동),1359.0,N,SK에너지,양천구
192,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),1365.0,Y,GS칼텍스,양천구
193,현대오일뱅크(주)직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),1369.0,Y,현대오일뱅크,양천구
194,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),1375.0,N,GS칼텍스,양천구
195,목동주유소,서울 양천구 목동중앙로 125 (목동),1375.0,Y,SK에너지,양천구
196,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),1378.0,Y,현대오일뱅크,양천구
197,신정동주유소,서울 양천구 안양천로 663 (신정동),1378.0,Y,현대오일뱅크,양천구
198,현대오일뱅크(주) 양천주유소,서울 양천구 안양천로 1179 (목동),1379.0,N,현대오일뱅크,양천구
199,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17 (신정동),1389.0,Y,현대오일뱅크,양천구
200,SK에너지(주) 신평,서울 양천구 목동남로 62 (신정동),1394.0,N,SK에너지,양천구
201,양정주유소,서울 양천구 국회대로 158 (신정동),1395.0,N,현대오일뱅크,양천구
202,대농self주유소,서울 양천구 중앙로 331 (신월동),1397.0,Y,SK에너지,양천구
203,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),1399.0,Y,SK에너지,양천구
204,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),1399.0,N,현대오일뱅크,양천구
205,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,1399.0,Y,현대오일뱅크,양천구
206,신양주유소,서울 양천구 지양로 67,1459.0,N,SK에너지,양천구
207,현대오일뱅크㈜직영 코리아주유소,서울 양천구 신목로7길 1,1599.0,N,현대오일뱅크,양천구
208,평화주유소,서울 양천구 안양천로 657 (신정동),1677.0,N,SK에너지,양천구
209,행촌주유소,서울 영등포구 도신로 130 (신길동),1319.0,N,SK에너지,영등포구
210,(주)강서오일,서울 영등포구 도신로 151,1319.0,N,현대오일뱅크,영등포구
211,매봉주유소,서울 영등포구 도신로 248 (신길동),1329.0,Y,현대오일뱅크,영등포구
212,(주)MS주유소,서울 영등포구 대림로 230,1329.0,N,현대오일뱅크,영등포구
213,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),1329.0,N,GS칼텍스,영등포구
214,도림주유소,서울 영등포구 도림로 343 (도림동),1329.0,Y,알뜰주유소,영등포구
215,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),1339.0,Y,GS칼텍스,영등포구
216,㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,1359.0,N,GS칼텍스,영등포구
217,보라주유소,서울 영등포구 영등포로 399 (신길동),1368.0,N,GS칼텍스,영등포구
218,지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,1369.0,Y,GS칼텍스,영등포구
219,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),1369.0,Y,SK에너지,영등포구
220,현대오일뱅크㈜직영 영등포제일셀프주유소,서울 영등포구 가마산로 379,1387.0,Y,현대오일뱅크,영등포구
221,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),1388.0,Y,SK에너지,영등포구
222,한일주유소,서울 영등포구 도림로 486 (문래동3가),1390.0,N,SK에너지,영등포구
223,씨앤에스유통 한성주유소,서울 영등포구 여의대방로 227,1395.0,N,S-OIL,영등포구
224,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,1398.0,Y,SK에너지,영등포구
225,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),1398.0,Y,GS칼텍스,영등포구
226,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),1399.0,N,SK에너지,영등포구
227,현대오일뱅크(주)직영 영등포현대셀프,서울 영등포구 경인로 822 (영등포동),1399.0,Y,현대오일뱅크,영등포구
228,현대오일뱅크㈜직영 선유로셀프주유소,서울 영등포구 선유로 114(양평동1가),1399.0,Y,현대오일뱅크,영등포구
229,현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,1399.0,Y,현대오일뱅크,영등포구
230,선유도주유소,서울 영등포구 양평로 141 (양평동5가),1405.0,Y,S-OIL,영등포구
231,SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),1418.0,Y,SK에너지,영등포구
232,대영주유소,서울 영등포구 국회대로 632 (영등포동7가),1430.0,Y,GS칼텍스,영등포구
233,sk여명주유소,서울 영등포구 국회대로62길 7 (여의도동),1688.0,N,SK에너지,영등포구
234,성원이앤에스(주)영등포지점,서울 영등포구 국회대로52길 9-13 (영등포동7가),1698.0,N,GS칼텍스,영등포구
235,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),1890.0,N,SK에너지,영등포구
236,현대오일뱅크㈜직영 여의도현대주유소,서울 영등포구 의사당대로 154 (여의도동),1919.0,N,현대오일뱅크,영등포구
237,지에스칼텍스(주) 국회대로주유소,서울 영등포구 국회대로 746 (여의도동),1919.0,N,GS칼텍스,영등포구
238,KH여의도주유소,서울 영등포구 국회대로 794 (여의도동),1929.0,N,SK에너지,영등포구
239,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,1939.0,N,GS칼텍스,영등포구
240,수유동주유소,서울 강북구 도봉로 395 (수유동),1317.0,Y,GS칼텍스,강북구
241,북서울고속주유소,서울 강북구 삼양로 410 (수유동),1317.0,Y,S-OIL,강북구
242,(주)석산에너지,서울 강북구 삼양로 316 (수유동),1317.0,Y,현대오일뱅크,강북구
243,KH에너지(주)직영 송정주유소,서울 강북구 인수봉로 185 (수유동),1347.0,N,SK에너지,강북구
