,이름,주소,가격,셀프,상표,구,lat,lng,거리
0,지에스칼텍스㈜ 신월주유소,서울 강동구 양재대로 1323 (성내동),1415.0,N,GS칼텍스,강동구,37.5245352149831,127.134421461173,20.44340448270174
1,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1415.0,Y,GS칼텍스,강동구,37.5452341163059,127.170218863794,23.615182441120968
2,구천면주유소,서울 강동구 구천면로 357 (암사동),1424.0,N,현대오일뱅크,강동구,37.5504579000579,127.138226914948,20.845347044344997
3,방아다리주유소,서울 강동구 동남로 811 (명일동),1435.0,Y,SK에너지,강동구,37.546060636112,127.155495129904,22.324985580797705
4,대성석유(주)직영 길동주유소,서울 강동구 천호대로 1168,1448.0,N,GS칼텍스,강동구,37.5334199332869,127.141184621649,21.017289934240374
5,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1448.0,Y,S-OIL,강동구,37.5313314897305,127.121249029645,19.26043586858182
6,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),1448.0,Y,현대오일뱅크,강동구,37.5544786253203,127.144011308896,21.398029977105246
7,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),1455.0,Y,SK에너지,강동구,37.5587673802815,127.171390708337,23.850351982482405
8,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),1456.0,N,SK에너지,강동구,37.5323206515916,127.1330903311,20.3037468231159
9,현대오일뱅크㈜직영 고속셀프주유소,서울 강동구 천호대로 1246,1457.0,Y,현대오일뱅크,강동구,37.5364168582452,127.149372429092,21.742219837742585
10,현대오일뱅크㈜직영 암사셀프주유소,서울 강동구 올림픽로 749 (암사동),1457.0,Y,현대오일뱅크,강동구,37.5481992403343,127.126442999028,19.788345316342046
11,천호현대주유소,서울 강동구 천중로 67 (천호동),1465.0,N,현대오일뱅크,강동구,37.5451778567405,127.129496550003,20.031357654101914
12,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1478.0,N,GS칼텍스,강동구,37.5550602507921,127.129843660096,20.164987890369957
13,(주)소모에너지엔테크놀러지 성내주유소,서울 강동구 올림픽로 578 (성내동),1478.0,Y,GS칼텍스,강동구,37.5332604712366,127.122008039141,19.326327821655557
14,광성주유소,서울 강동구 올림픽로 673 (천호동),1498.0,N,S-OIL,강동구,37.5415768035116,127.124241977598,19.545844107465367
15,강동주유소,서울 강동구 양재대로 1509 (길동),1893.0,N,SK에너지,강동구,37.5407771518545,127.140719072077,20.99326964992684
16,재원에너지(주)용일주유소,서울 동대문구 안암로 54 (용두동),1322.0,N,GS칼텍스,동대문구,37.5813972756249,127.028117940885,12.288475986443379
17,풍한주유소,서울 동대문구 안암로 168,1325.0,N,SK에너지,동대문구,37.5892107111281,127.035992810349,13.301338539958811
18,(주)경동주유소,서울 동대문구 이문로 191 (이문동),1340.0,Y,S-OIL,동대문구,37.6036482256361,127.061800563122,16.06650976680611
19,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1340.0,Y,GS칼텍스,동대문구,37.5864699557701,127.0516032116,14.401530668576733
20,재정제2주유소,서울 동대문구 사가정로 90 (전농동),1352.0,Y,현대오일뱅크,동대문구,37.5759083008078,127.055631542737,14.292124660288946
21,재정주유소,서울 동대문구 전농로 121 (전농동),1352.0,N,현대오일뱅크,동대문구,37.5757753233693,127.057492519248,14.441963477983181
22,웰컴주유소,서울 동대문구 한천로 414 (이문동),1355.0,N,현대오일뱅크,동대문구,37.5975437366033,127.068038613189,16.23712164705509
23,열린주유소,서울 동대문구 한천로 263 (휘경동),1365.0,N,GS칼텍스,동대문구,37.5843890962343,127.067683930685,15.61708412290179
24,(주)파랑에너지,서울 동대문구 망우로 1,1369.0,Y,GS칼텍스,동대문구,37.5883415442949,127.054114773752,14.689318074873302
25,배봉로주유소,서울 동대문구 서울시립대로 108,1369.0,Y,현대오일뱅크,동대문구,37.5800249265392,127.051082862686,14.078308392648934
26,동일석유(주)강남주유소,서울특별시 동대문구  사가정로 103 (전농동),1379.0,N,SK에너지,동대문구,37.5770427148996,127.056449394545,14.40246334053731
27,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1387.0,N,S-OIL,동대문구,37.5880092172875,127.042553030596,13.754353506429457
28,삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1389.0,Y,SK에너지,동대문구,37.5901831438414,127.063235322657,15.505584700298206
29,삼영주유소,서울 동대문구 답십리로 258 (장안동),1398.0,N,SK에너지,동대문구,37.5722270053461,127.068815663753,15.270568608462394
30,답십리주유소,서울 동대문구 답십리로 223 (답십리동),1398.0,N,SK에너지,동대문구,37.572938596472,127.06502684193,14.974087505327475
31,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),1398.0,Y,SK에너지,동대문구,37.5701668831791,127.064994661697,14.882964590982958
32,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1418.0,N,GS칼텍스,동대문구,37.5758650176352,127.037718750466,12.813042691401224
33,오동나무주유소,서울 동대문구  한천로 81 (답십리동),1428.0,N,S-OIL,동대문구,37.5689447519836,127.063376287307,14.708513648630765
34,현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),1438.0,N,현대오일뱅크,동대문구,37.5612269362214,127.069417973378,15.01951141069737
35,신성주유소,서울 동대문구 장한로 29 (장안동),1497.0,N,현대오일뱅크,동대문구,37.5642095897862,127.065969228945,14.796496264268011
36,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),1499.0,N,현대오일뱅크,동대문구,37.5884253186329,127.057395478312,14.956154804393199
37,능주주유소,서울 동대문구 청계천로 431 (신설동),1563.0,N,SK에너지,동대문구,37.5716346639059,127.025224782012,11.616019334659823
38,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,1358.0,N,GS칼텍스,동작구,37.5057358255661,126.922881347334,3.5029371086248386
39,대성산업(주) 노량진주유소,서울 동작구 노량진로 172 (노량진동),1398.0,N,GS칼텍스,동작구,37.5135542349837,126.945015161205,4.298874259712501
40,매일주유소,서울 동작구 상도로 139 (상도동),1399.0,N,S-OIL,동작구,37.5028629715876,126.93518145624,4.395189654081284
41,창원이엔지주유소,서울 동작구 사당로 59 (상도동),1399.0,N,현대오일뱅크,동작구,37.494936328044,126.961445941667,6.6763835186081275
42,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),1408.0,Y,현대오일뱅크,동작구,37.4870838318408,126.905639241172,5.104006455525453
43,(주)성림에너지 남성주유소,서울 동작구 동작대로 135 (사당동),1429.0,Y,GS칼텍스,동작구,37.4887034791074,126.981970010334,8.538616577395654
44,현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),1429.0,Y,현대오일뱅크,동작구,37.5081000291855,126.965239054896,6.157442351912258
45,현대오일뱅크(주)직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),1429.0,Y,현대오일뱅크,동작구,37.4831195026339,126.98153085422,8.880597647598066
46,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로 403 (상도동),1455.0,N,현대오일뱅크,동작구,37.4934718918359,126.956435112111,6.450024810897562
47,살피재주유소,서울 동작구 상도로 334,1495.0,N,SK에너지,동작구,37.4983604973766,126.951389038225,5.754710348077463
48,에스오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),1388.0,Y,S-OIL,마포구,37.546289031379,126.944762996986,3.984109584741411
49,마포시엠주유소,서울 마포구 월드컵북로62 (성산동),1397.0,N,GS칼텍스,마포구,37.5597772413684,126.917179478209,3.2420081557166482
50,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),1407.0,N,SK에너지,마포구,37.567465744446,126.909844646131,3.889484991165504
51,청원주유소,서울 마포구 월드컵북로 113 (성산동),1428.0,N,현대오일뱅크,마포구,37.5631741949394,126.913189228501,3.4845804652838885
52,용강주유소,서울 마포구 토정로 258,1436.0,N,S-OIL,마포구,37.543028193238,126.938847645255,3.3680357959000586
54,현대오일뱅크㈜직영 마포제일주유소,서울 마포구 서강로 76 (창전동),1438.0,N,현대오일뱅크,마포구,37.5498342666849,126.932591311368,3.227405322717543
55,망원동주유소,서울 마포구 월드컵로 119 (망원동),1448.0,N,SK에너지,마포구,37.5587410471986,126.907182114043,2.89541277531372
56,현대오일뱅크㈜직영 성산대교주유소,서울 마포구 성산로 144,1473.0,N,현대오일뱅크,마포구,37.5643351190322,126.909458037833,3.5404503030761076
57,SK에너지(주) 안국주유소,서울 마포구 양화로 33 (합정동),1584.0,N,SK에너지,마포구,37.5493308066931,126.912557082288,2.015005135811484
58,마포주유소,서울 마포구 마포대로 186 (공덕동),1697.0,N,S-OIL,마포구,37.5505948047115,126.95563699696,5.052869159015874
59,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),1699.0,N,SK에너지,마포구,37.5421183825596,126.948522081226,4.155946238939557
60,행촌제2주유소,서울 서대문구 성산로 490 (대신동),1360.0,N,SK에너지,서대문구,37.5610155646644,126.941569342334,4.627535806376102
61,(주)마봉 구도일주유소 두꺼비,서울 서대문구 성산로 312 (연희동),1360.0,Y,S-OIL,서대문구,37.5660708443759,126.924941152249,4.1686053552758615
62,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),1360.0,N,SK에너지,서대문구,37.5693077959774,126.932458194132,4.8147108615815775
63,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),1369.0,N,현대오일뱅크,서대문구,37.5891287172466,126.943337675172,7.196859025752528
64,(주)마봉 신우주유소,서울 서대문구 가좌로 106 (홍은동),1375.0,Y,S-OIL,서대문구,37.5822575743325,126.926519409089,5.868783169298976
65,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,1380.0,Y,현대오일뱅크,서대문구,37.5732608965137,126.922462434868,4.806704982770817
66,남정주유소,서울 서대문구 모래내로 243 (남가좌동),1385.0,N,GS칼텍스,서대문구,37.5756715829004,126.925518366048,5.156080273863112
67,광호주유소,서울 서대문구 연희로 266 (홍은동),1385.0,N,SK에너지,서대문구,37.5807686609718,126.936581879011,6.094639620416435
68,코리아상사연세주유소,서울 서대문구 연희로 184,1385.0,Y,GS칼텍스,서대문구,37.5734779131892,126.935927536368,5.3701206924340354
69,삼보셀프주유소,서울 서대문구 연희로 78 (연희동),1389.0,Y,SK에너지,서대문구,37.5650243399688,126.929929031318,4.294254378662302
70,삼미상사(주)서부주유소,서울 서대문구 성산로 255 (연희동),1390.0,Y,SK에너지,서대문구,37.5677454628917,126.918985802478,4.124736975172923
71,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,1395.0,Y,GS칼텍스,서대문구,37.5835529130439,126.950101908476,7.003188819659005
72,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),1398.0,Y,SK에너지,서대문구,37.5598695838504,126.92684981646,3.6681575806860787
73,현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),1409.0,N,현대오일뱅크,서대문구,37.5841890713335,126.94938946313,7.0232811269942745
74,문화촌주유소,서울 서대문구 세검정로 87 (홍제동),1598.0,N,S-OIL,서대문구,37.5954419804145,126.948477443752,8.031179801304475
75,만남의광장주유소,서울 서초구 양재대로12길 73-71,1297.0,Y,알뜰(ex),서초구,37.4596446385464,127.042624862658,14.781725246988337
76,지에스칼텍스(주)헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),1395.0,Y,GS칼텍스,서초구,37.4574434815458,127.060193087568,16.222961058909096
77,양재주유소,서울 서초구 바우뫼로 178 (양재동),1395.0,N,SK에너지,서초구,37.4780861398106,127.039597278471,13.517789088865202
78,지에스칼텍스(주)내곡주유소,서울 서초구 헌릉로 210,1395.0,N,GS칼텍스,서초구,37.455297697201,127.062833263205,16.54612064153842
79,양재최고주유소,서울 서초구 매헌로 72 (양재동),1395.0,N,S-OIL,서초구,37.4671915776126,127.034715543613,13.740054598058682
80,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),1395.0,Y,SK에너지,서초구,37.4682517426698,127.028145932927,13.18819513126976
81,강남대로주유소,서울 서초구 강남대로 206 (양재동),1395.0,Y,S-OIL,서초구,37.4826415320329,127.036583601847,13.055919623291935
82,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),1396.0,N,GS칼텍스,서초구,37.4852151024163,127.040657880963,13.264325382758837
83,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),1397.0,Y,SK에너지,서초구,37.4668335881167,126.987972808104,10.508526814305055
84,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),1409.0,Y,S-OIL,서초구,37.4864968459389,127.023063981282,11.795092736604502
85,(주)홈런주유소,서울 서초구 양재대로2길 100-30 (우면동),1409.0,Y,S-OIL,서초구,37.4572824578308,127.016168490217,13.06642411244899
86,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),1414.0,N,GS칼텍스,서초구,37.4949333176608,126.983215580857,8.253236772703296
87,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),1415.0,N,GS칼텍스,서초구,37.4862238886445,127.010772295666,10.84521720602973
88,(주)한미건설 서울주유소,서울 서초구 서초중앙로 91 (서초동),1415.0,N,GS칼텍스,서초구,37.4898645152162,127.014068709282,10.917603166163019
89,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,1415.0,N,GS칼텍스,서초구,37.4826019457759,127.018580385827,11.642935591736377
90,양재현대주유소,서울 서초구 마방로 6,1418.0,N,현대오일뱅크,서초구,37.4735504238038,127.039695160631,13.760588396434807
91,한독주유소,서울 서초구 방배로 218 (방배동),1419.0,N,GS칼텍스,서초구,37.4927581359784,126.990882351222,8.959107753348503
92,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),1419.0,N,현대오일뱅크,서초구,37.5001585428224,126.999179646152,9.245881430477075
93,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),1422.0,N,GS칼텍스,서초구,37.5161552826768,127.018859270173,10.400681888627194
94,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),1425.0,N,GS칼텍스,서초구,37.4864727516209,127.009679178115,10.747329665098748
95,신반포주유소,서울 서초구 사평대로 94 (반포동),1428.0,N,SK에너지,서초구,37.4983886833497,126.994998605875,8.990548604677105
96,현대오일뱅크(주)직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),1429.0,N,현대오일뱅크,서초구,37.4927534366922,126.983325076533,8.388174709769418
97,현대오일뱅크㈜직영 반포셀프주유소,서울 서초구 사평대로 12,1429.0,Y,현대오일뱅크,서초구,37.4983544158997,126.98577963148,8.264466137488043
98,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),1439.0,Y,SK에너지,서초구,37.4628348082628,127.037147595122,14.182834536161545
99,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),1442.0,N,GS칼텍스,서초구,37.503204616056,127.010876972267,10.08594283956863
100,대성산업(주)직영강남주유소,서울 서초구 반포대로 284 (반포동),1442.0,N,GS칼텍스,서초구,37.5046512165389,127.001827980942,9.279788656066598
101,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),1442.0,N,GS칼텍스,서초구,37.5068860321425,127.00872532633,9.777667948160072
102,현대오일뱅크(주)직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),1462.0,N,현대오일뱅크,서초구,37.4905850808047,127.022588286106,11.564696766475484
103,경일석유(주)직영 삼방주유소,서울 서초구 사평대로 364 (서초동),1497.0,N,GS칼텍스,서초구,37.5037327208746,127.023195609704,11.100740238034884
104,방배동주유소,서울 서초구 효령로 29 (방배동),1497.0,N,SK에너지,서초구,37.4781641318381,126.987763194218,9.654567784225755
105,크로바주유소,서울 서초구 효령로 327 (서초동),1539.0,N,SK에너지,서초구,37.4863801903062,127.019957824568,11.555192702010249
106,현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),1682.0,N,현대오일뱅크,서초구,37.503281185781,127.02150866453,10.97356229607716
107,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),1878.0,N,SK에너지,서초구,37.492730944688,127.007571181715,10.262666865785246
108,중앙주유소,서울 서초구 양재동 바우뫼로 219 (양재동),1878.0,N,S-OIL,서초구,37.481559699114,127.042231529687,13.558109247345152
109,선우상사Q엔느,서울 서초구 방배로 66 (방배동),1897.0,N,SK에너지,서초구,37.4806926277812,126.998516306835,10.245722576123534
110,KLP제2주유소,서울 성동구 동일로 249 (송정동),1345.0,Y,현대오일뱅크,성동구,37.5540124113316,127.070433103392,14.961250168180614
111,(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),1352.0,Y,S-OIL,성동구,37.5642339425388,127.055593318567,13.909727146057667
112,정호주유소,서울 성동구 고산자로 307 (마장동),1378.0,N,자가상표,성동구,37.5672020506377,127.036537420429,12.38769748488105
113,SK에너지(주) 군자동주유소,서울 성동구 천호대로 446 (용답동),1394.0,N,SK에너지,성동구,37.560534180112,127.068301931583,14.907332808916049
114,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,1395.0,Y,GS칼텍스,성동구,37.5420274264746,127.063423424356,14.195675900248496
115,아이콘주유소,서울 성동구 고산자로 273 (도선동),1418.0,N,S-OIL,성동구,37.5641283119055,127.035920071533,12.234892882122935
116,현대오일뱅크(주) 성동셀프주유소,서울 성동구 마장로 311 (마장동),1430.0,Y,현대오일뱅크,성동구,37.5670168870809,127.04372064792,12.98569803615956
117,삼우주유소,서울 성동구 천호대로 392,1448.0,N,SK에너지,성동구,37.5614150648805,127.062310521717,14.411975658899493
118,kh에너지(주)성수만세주유소,서울 성동구 왕십리로 109,1455.0,Y,SK에너지,성동구,37.5474976267809,127.044350756633,12.582140150791002
119,SK에너지(주) 성수주유소,서울 성동구 뚝섬로 352 (성수동1가),1455.0,N,SK에너지,성동구,37.5400047737799,127.049900172954,12.991223700865094
120,경진주유소,서울 성동구 고산자로 348 (마장동),1488.0,N,SK에너지,성동구,37.5705452309376,127.03813195036,12.639370004020932
121,SK세원2주유소,서울 성동구 광나루로 184 (성수동1가),1490.0,N,SK에너지,성동구,37.5508602334419,127.050436462226,13.165549592931887
122,현대오일뱅크㈜직영 효진주유소,서울 성동구 동일로 129,1508.0,N,현대오일뱅크,성동구,37.5441143795743,127.064645129354,14.321207208992579
123,금호주유소,서울 성동구 금호로 39 (금호동4가),1595.0,N,GS칼텍스,성동구,37.5470409999369,127.025032153735,10.887808958473125
124,동일주유소,서울 성동구 광나루로 254 (성수동2가),1685.0,N,현대오일뱅크,성동구,37.5485761967423,127.057911486572,13.78321886871757
125,청계로주유소,서울 성동구 청계천로 454 (하왕십리동),1698.0,N,SK에너지,성동구,37.5700413114581,127.027391824017,11.730290374780829
126,(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),1705.0,N,GS칼텍스,성동구,37.5408496346983,127.011382906693,9.6115356033732
127,원천주유소,서울 성북구 돌곶이로 142 (장위동),1315.0,N,알뜰주유소,성북구,37.6149596653136,127.052767760078,16.055977902052156
128,강산제2주유소,서울 성북구 보국문로 52,1317.0,Y,현대오일뱅크,성북구,37.6091774896632,127.010120328789,12.699830888381072
129,(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),1317.0,Y,GS칼텍스,성북구,37.6076158170175,127.00997322889,12.574905296482758
130,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),1317.0,Y,GS칼텍스,성북구,37.5779480661943,127.022800763795,11.700095166105884
131,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,1327.0,N,GS칼텍스,성북구,37.6031889817123,127.035329356198,14.049922943807804
132,(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,1327.0,Y,S-OIL,성북구,37.6069071610892,127.050090586822,15.365569798564524
133,장위주유소,서울 성북구 화랑로 110 (하월곡동),1329.0,Y,S-OIL,성북구,37.6034637786359,127.043444018874,14.666060440114114
134,신방주유소,서울 성북구 안암로 111 (안암동5가),1342.0,N,S-OIL,성북구,37.585570267124,127.03185811318,12.790888237832306
135,우리주유소,서울 성북구 화랑로 292 (석관동),1344.0,Y,SK에너지,성북구,37.6126157123372,127.061400134261,16.546830182159653
136,중앙에너비스 종암지점,서울 성북구 종암로 58,1347.0,Y,SK에너지,성북구,37.5957774048863,127.036011599387,13.661057340540292
137,(주)성북주유소,서울 성북구 보문로 142,1357.0,N,현대오일뱅크,성북구,37.5876710055984,127.018389424981,11.865821433782267
138,삼선주유소,서울 성북구 창경궁로 324,1357.0,Y,S-OIL,성북구,37.58798513267,127.005541114305,10.928646669494922
139,재정제2주유소 길음지점,서울 성북구 삼양로 78 (길음동),1359.0,N,현대오일뱅크,성북구,37.6102988135483,127.022752309268,13.627421407927306
140,GS칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),1369.0,Y,GS칼텍스,성북구,37.6027851035284,127.03204755082,13.785121311440665
141,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,1377.0,N,GS칼텍스,성북구,37.6078690506394,127.050739603739,15.471186190824316
142,현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),1380.0,Y,현대오일뱅크,성북구,37.5914409003495,127.036697935025,13.474034390343958
143,현대오일뱅크㈜직영 광덕셀프주유소,서울 성북구 보문로 89 (보문동5가),1387.0,Y,현대오일뱅크,성북구,37.5831161260631,127.020045209406,11.742640394132318
144,현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),1389.0,Y,현대오일뱅크,성북구,37.6054307579856,127.008551321932,12.320851942533215
145,현대오일뱅크(주)직영 장삼주유소,서울 성북구 한천로 612 (장위동),1389.0,Y,현대오일뱅크,성북구,37.6136383135999,127.060216713088,16.520254163242885
146,현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),1409.0,N,현대오일뱅크,성북구,37.6005363027457,127.014211710411,12.364322166503447
147,SK에너지(주) 드림랜드주유소,서울 성북구 월계로 128 (장위동),1414.0,N,SK에너지,성북구,37.6166166995599,127.041411636405,15.35380489718866
148,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,1418.0,Y,GS칼텍스,성북구,37.6088083513732,127.029473489653,13.991307094117513
149,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),1425.0,N,GS칼텍스,성북구,37.5829579453996,127.020374169754,11.759841728925029
150,삼전셀프주유소,서울 송파구 백제고분로 199,1342.0,Y,SK에너지,송파구,37.5043421445766,127.089041736764,16.72743004405018
151,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),1342.0,Y,현대오일뱅크,송파구,37.501693668377,127.097232908506,17.49360881785003
152,방이주유소,서울 송파구 위례성대로12길 38 (방이동),1347.0,N,SK에너지,송파구,37.510697303932,127.120691625554,19.371532181736843
153,아시아주유소,서울 송파구 도곡로 438 (잠실동),1347.0,Y,GS칼텍스,송파구,37.5046106505557,127.077393903247,15.714046792858344
154,(주)뉴명성산업 남성주유소,서울 송파구 백제고분로 474 (방이동),1347.0,N,현대오일뱅크,송파구,37.5126146696919,127.114042344325,18.762969654328337
155,삼정주유소,서울 송파구 백제고분로 252 (삼전동),1347.0,Y,GS칼텍스,송파구,37.502383423532,127.094299487454,17.224753812663728
156,백제고분로주유소,서울 송파구 오금로 143 (방이동),1347.0,Y,SK에너지,송파구,37.5110669836967,127.111049573145,18.522974813704028
157,삼화주유소,서울 송파구 백제고분로 125,1347.0,Y,GS칼텍스,송파구,37.5066508882331,127.080887734191,15.972783871588756
159,상아주유소,서울 송파구 거마로 82 (마천동),1363.0,Y,현대오일뱅크,송파구,37.5001269475186,127.147837632763,21.914399355601887
160,지에스칼텍스(주)우리주유소,서울 송파구 동남로 153,1375.0,N,GS칼텍스,송파구,37.4924714993498,127.127383321556,20.310231545293384
161,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),1379.0,Y,SK에너지,송파구,37.499307755111,127.097184353139,17.54429621159263
162,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),1383.0,Y,S-OIL,송파구,37.5063758984326,127.106656298253,18.216758567968654
163,대성주유소,서울 송파구 마천로 230 (마천동),1388.0,N,SK에너지,송파구,37.5000478635493,127.143135663709,21.50709834857339
